Date,Level,Loss,Degree of accuracy (Decimal place),Plain test accuracy,Encrypted test accuracy,Testing time,Encrypted testing time,Memory of model,Cleartext testing memory usage,Encrypted testing memory usage ,Encrypting testset memory usage 
2022/05/15 19:31:26,INFO,4.261504794426701, -1, 91.0, 91.0, 0.0006728172302246094, 0.47083258628845215 , 432.14, 432.32, 634.08 ,519.40
2022/05/15 19:31:45,INFO,4.261504794426701, -1, 91.0, 91.0, 0.0006959438323974609, 0.47548341751098633 , 431.34, 431.61, 633.32 ,519.46
2022/05/15 19:32:07,INFO,4.261504794426701, -1, 91.0, 91.0, 0.0006895065307617188, 0.4777989387512207 , 431.70, 431.98, 634.38 ,519.33
2022/05/15 19:32:25,INFO,4.261504794426701, -1, 91.0, 91.0, 0.0007379055023193359, 0.46535778045654297 , 432.42, 432.66, 635.23 ,520.07
2022/05/15 19:32:41,INFO,4.261504794426701, -1, 91.0, 91.0, 0.0007159709930419922, 0.466383695602417 , 432.36, 432.56, 636.09 ,521.73
2022/05/15 19:33:16,INFO,4.261504794426701, 1, 3.0, 0.0, 0.0006983280181884766, 0.4750652313232422 , 432.31, 432.52, 635.19 ,520.89
2022/05/15 19:33:36,INFO,4.261504794426701, 1, 3.0, 0.0, 0.0007526874542236328, 0.47899913787841797 , 432.21, 432.39, 635.81 ,520.74
2022/05/15 19:34:02,INFO,4.261504794426701, 1, 3.0, 0.0, 0.0006647109985351562, 0.47011828422546387 , 432.46, 432.75, 636.03 ,521.43
2022/05/15 19:34:53,INFO,4.261504794426701, 1, 3.0, 0.0, 0.0006864070892333984, 0.48559021949768066 , 432.41, 432.64, 635.30 ,519.27
2022/05/15 19:35:15,INFO,4.261504794426701, 1, 3.0, 0.0, 0.0007188320159912109, 0.4709620475769043 , 432.44, 432.67, 636.43 ,521.38
