Date,Level,Loss,Degree of accuracy (Decimal place),Plain test accuracy,Encrypted test accuracy,Testing time,Encrypted testing time,Memory of model,Cleartext testing memory usage,Encrypted testing memory usage ,Encrypting testset memory usage 
2022/05/15 19:18:24,INFO,4.356179787899156, -1, 94.0, 94.0, 0.0009610652923583984, 0.4776790142059326 , 431.46, 431.73, 634.58 ,519.55
2022/05/15 19:20:42,INFO,4.356179787899156, -1, 94.0, 94.0, 0.0007281303405761719, 0.4646110534667969 , 432.45, 432.64, 636.17 ,521.56
2022/05/15 19:21:17,INFO,4.356179787899156, -1, 94.0, 94.0, 0.0007214546203613281, 0.46834802627563477 , 432.04, 432.22, 636.03 ,521.09
2022/05/15 19:21:32,INFO,4.356179787899156, -1, 94.0, 94.0, 0.0006859302520751953, 0.467836856842041 , 432.31, 432.57, 636.67 ,521.24
2022/05/15 19:22:05,INFO,4.356179787899156, -1, 94.0, 94.0, 0.0007114410400390625, 0.4689173698425293 , 432.49, 432.73, 636.33 ,521.17
2022/05/15 19:22:41,INFO,4.356179787899156, 1, 3.0, 1.0, 0.0007195472717285156, 0.46518945693969727 , 431.62, 431.92, 633.64 ,519.03
2022/05/15 19:23:07,INFO,4.356179787899156, 1, 3.0, 1.0, 0.0007090568542480469, 0.4642364978790283 , 431.70, 431.96, 635.22 ,521.12
2022/05/15 19:23:26,INFO,4.356179787899156, 1, 3.0, 1.0, 0.0006558895111083984, 0.47271108627319336 , 432.22, 432.40, 636.38 ,521.07
2022/05/15 19:23:43,INFO,4.356179787899156, 1, 3.0, 1.0, 0.0006735324859619141, 0.46848583221435547 , 432.79, 433.05, 635.62 ,520.68
2022/05/15 19:24:15,INFO,4.356179787899156, 1, 3.0, 1.0, 0.0006985664367675781, 0.49070167541503906 , 432.11, 432.29, 634.34 ,519.88
